,entropy
324,3.295356765024265
325,3.2925111313254374
326,3.2902398899177188
327,3.295092649892705
328,3.2999251766314015
329,3.310524118429991
330,3.3051057000756954
331,3.302876505387553
332,3.306643539619838
333,3.3171315604315454
334,3.311753134322507
335,3.308937428671807
336,3.31267724995953
337,3.3230585750913484
338,3.317721328883402
339,3.3148641277593196
340,3.311943430779535
341,3.311497388349806
342,3.3177320226152194
343,3.3279688096382336
344,3.3227224316185042
345,3.3205408838409807
346,3.323495723812322
347,3.33363155311159
348,3.328424454868167
349,3.3255306104410693
350,3.3263368783127296
351,3.3309571339684503
352,3.3409687293026002
353,3.3358180045103563
354,3.3348963854025553
355,3.3385179807836587
356,3.3484278293305065
357,3.3433094364357627
358,3.3404379023608763
359,3.3409747881429923
360,3.341264220418052
361,3.3407347479402554
362,3.3467016764475606
363,3.3564518888244415
364,3.35142811874224
365,3.3532833745360358
366,3.3629583468428237
367,3.3579461563774418
368,3.3559797847103736
369,3.360430131049863
370,3.370010786063741
371,3.3650294447438127
372,3.362235681498162
373,3.364527966982643
374,3.370327351456688
375,3.379789933436048
376,3.3748518317077054
377,3.37390228007428
378,3.3766999090565237
379,3.3860739995788065
380,3.3811673623982546
381,3.3783889118754113
382,3.3785008638520595
383,3.3841897808117682
384,3.3898559090330083
385,3.388805080371551
386,3.3899131879843214
387,3.399113709590817
388,3.3942973432291628
389,3.3951171804433176
390,3.3932199416013895
391,3.397473060981739
392,3.3980432038187245
393,3.396081743946251
394,3.394049325587654
395,3.3935010778657464
396,3.3977318894357453
397,3.406745615016037
398,3.4020650409426247
399,3.404780381806384
400,3.4137278459583413
401,3.4090545638285072
402,3.4069973886093106
403,3.407371514962052
404,3.4100709417501793
405,3.4189257439137384
406,3.4142992686847093
407,3.413258620870897
408,3.41655909144611
409,3.4206782013448636
410,3.4294292901046743
411,3.4248355577063
412,3.4236961814871814
413,3.4224583266485307
414,3.421837964268378
415,3.4240117074305876
416,3.4326636846823475
417,3.4281359028569938
418,3.426451916810173
419,3.4350533724585732
420,3.430542793142659
421,3.4285601656526596
422,3.430325685320999
423,3.4317503700059087
424,3.437004174813911
425,3.442238837212833
426,3.4462290732685106
427,3.454667683051494
428,3.450213810866367
429,3.450416010529489
430,3.455585933330867
431,3.4639463068341305
432,3.4595085054993664
433,3.4571162311665202
434,3.462244472848626
435,3.4705340373067726
436,3.466118241995925
437,3.463695146746184
438,3.461231337812362
439,3.46056487690684
440,3.465646625189419
441,3.473846921979224
442,3.4694902586857754
443,3.467858174331103
444,3.47172232975774
445,3.469260010193141
446,3.470362225670852
447,3.4724379998913415
448,3.480530361749842
449,3.476238103098913
450,3.4770879701382262
451,3.4746233820661043
452,3.472980604576751
453,3.473072132098266
454,3.481085594911037
455,3.4768548304089553
456,3.4751678539986877
457,3.4727177883088753
458,3.47098640868934
459,3.4718740665194496
460,3.4798142803864587
461,3.475647223206879
462,3.4738757296866924
463,3.4714392260533056
464,3.4696285031082077
465,3.4703205338603116
466,3.4684661719326537
467,3.468972371055468
468,3.469303078286271
469,3.468690440338228
470,3.476514443162996
471,3.472466460573754
472,3.47454300147551
473,3.4793938756615574
474,3.487147281045405
475,3.4831075036949226
476,3.4807294488459806
477,3.4832102488682417
478,3.4909084655280407
479,3.4868911356226544
480,3.4844971706963435
481,3.4820733068739704
482,3.4814037037969876
