,entropy
670,4.529018999463822
671,4.529182214785363
672,4.533612853425126
673,4.533374554000765
674,4.532974209254317
675,4.533387096241941
676,4.533553611799261
677,4.533510388436618
678,4.535866912205703
679,4.535824748883781
680,4.537406922860793
681,4.537183169746387
682,4.536179698100622
683,4.540552573639912
684,4.542891028561138
685,4.544462041501208
686,4.543365211160584
687,4.544074054783455
688,4.54514967248594
689,4.545858085267698
690,4.546275148287949
691,4.546693097222171
692,4.546870298991196
693,4.547049069345821
694,4.547023143757923
695,4.546999359981222
696,4.546797895827363
697,4.546599064408504
698,4.54767631111868
699,4.551965867401297
700,4.5542676278183345
701,4.555819494886951
702,4.5600852499678775
703,4.5600594278831394
704,4.559699993961991
705,4.559343587389332
706,4.55884851307592
707,4.558356835056653
708,4.557740137375967
709,4.557009656287105
710,4.557722662041002
711,4.556890066121856
712,4.55540889779402
713,4.554485680784715
714,4.552952344060912
715,4.551945867293093
716,4.550856920299639
717,4.550697347992968
718,4.550385301460144
719,4.55023069351819
720,4.5517843303237004
721,4.5528649499765725
722,4.553595019509766
723,4.553290704196296
724,4.552850971654699
725,4.553306402465044
726,4.553532149058693
727,4.555079593105912
728,4.553946318978125
729,4.55502724006335
730,4.559184151025109
731,4.559913523803627
732,4.5603680701695675
733,4.560399811531854
734,4.5602628064220045
735,4.559716958405594
736,4.561963766871758
737,4.561307724046815
738,4.560551096623151
739,4.560273520103449
740,4.559863337872377
741,4.559333391715032
742,4.5595754848178105
743,4.558739252027204
744,4.560977747549088
745,4.560056046171583
746,4.559426698978134
747,4.5586978842242605
748,4.557877353975054
749,4.5569718371085095
750,4.558508754864975
751,4.559591496623051
752,4.558609560545094
753,4.559090664167026
754,4.559350465905872
755,4.560099165806819
756,4.560581644064966
757,4.564631039606793
758,4.566845028178121
759,4.567101608432866
760,4.565983639272804
761,4.566056008263823
762,4.570080315509633
763,4.569117783368994
764,4.568082540725247
765,4.566979143390046
766,4.568498456270253
767,4.568414017585187
768,4.567251106802255
769,4.566027943237317
770,4.564747850967079
771,4.566946418829402
772,4.568464068266966
773,4.569540451927984
774,4.571729332931014
775,4.572476454661312
776,4.571149411065862
777,4.571639856966714
778,4.572713526398142
779,4.572989327507766
780,4.573082520918776
781,4.573016847898485
782,4.572810778003916
783,4.573305156782894
784,4.572974894715183
785,4.573727227256862
786,4.5742234129934385
787,4.574507455712347
788,4.574610704880436
789,4.578530691034826
790,4.580689781474543
791,4.5806313864855905
792,4.582125735222084
793,4.581928629434494
794,4.583420757466758
795,4.582985478858459
796,4.582448188689412
797,4.581817327301997
798,4.585698325518523
799,4.585382439356934
800,4.5856683816790795
801,4.584719194312912
802,4.583704703197048
803,4.582628792190238
804,4.58149496161726
805,4.58030638270298
806,4.582445296073096
807,4.582036219214741
808,4.580976688348414
809,4.580470488560317
810,4.584314114687551
811,4.585798138953698
812,4.586862071467422
813,4.5876144936720165
814,4.589735555648021
815,4.589137032162905
816,4.589641955742526
817,4.589942438207886
818,4.590068652623462
819,4.589391427357119
820,4.58863607520362
821,4.5901116874854315
822,4.5911723146483565
823,4.592644218372438
824,4.593395879881098
825,4.594453086592793
826,4.594432842224092
827,4.595184006579753
828,4.595691926382391
829,4.596200075622746
830,4.5965069511522305
831,4.596357785951872
832,4.595547303458069
833,4.595686302317429
834,4.5956763113214585
835,4.595534593908911
836,4.595274970009424
837,4.594908758121132
838,4.596995064918223
839,4.596531195278859
840,4.595978287705702
841,4.595343201322287
842,4.594631889178633
843,4.593849567687076
844,4.593000846168687
845,4.591806995461718
846,4.590568151842603
847,4.590333158397508
848,4.590496851658227
849,4.590514101268966
850,4.590401857460564
851,4.590066840780402
852,4.589636177780989
853,4.591712776078571
854,4.59317390024761
855,4.594236016553309
856,4.593415192109012
857,4.5941827839651594
858,4.597862648737964
859,4.59839185904783
860,4.598726710932049
861,4.597847707830963
862,4.596911071119662
863,4.597969800508679
864,4.6000251613037575
865,4.599154067996204
866,4.598225582550699
867,4.597242937565435
868,4.596209061628939
869,4.595126620507751
870,4.598770640121659
871,4.599538338576118
872,4.600984251240358
873,4.6015198994903885
874,4.60039442220868
875,4.601450426885257
876,4.602217216059202
877,4.60275422338491
878,4.603807830952347
879,4.604154116692506
880,4.60433819667826
881,4.603180240961914
882,4.601980879837894
883,4.602028867955491
884,4.6019522169481135
885,4.602305925705582
886,4.6024985005158845
887,4.603935851262562
888,4.604704790099301
889,4.605757165476682
890,4.604820802023929
891,4.605589941558864
892,4.606133132226937
893,4.608149596196803
894,4.609578169101599
895,4.6096320922465255
896,4.6116416483087725
897,4.61146010526811
898,4.611178942590323
899,4.611235799475562
900,4.611170188576386
901,4.610994903356826
902,4.610628028369174
903,4.6101780140583415
904,4.611600844704709
905,4.611074283976102
906,4.610805799851338
907,4.610210228459699
908,4.609548377321937
909,4.608650598035291
910,4.607703705026708
911,4.608477143317553
912,4.611990517788636
913,4.613980669262354
914,4.615395810512476
915,4.615942434148602
916,4.6163064530749995
917,4.617347853400579
918,4.618113230858875
919,4.618321443330455
920,4.6188678366583265
921,4.618941205453117
922,4.6199799980241085
923,4.620345124133134
924,4.620555660984911
925,4.620631567636958
926,4.6202090449421735
927,4.620167508268889
928,4.620127220960253
929,4.620088177738811
930,4.61994278222794
931,4.621345476278272
932,4.622382114058387
933,4.623147153333995
934,4.623003695959672
935,4.622861687766619
936,4.62629742713333
937,4.626057435114812
938,4.626605739822381
939,4.6263681975193505
940,4.626043629564593
941,4.625639138804416
942,4.625406758037648
943,4.625087613663093
944,4.624688785154054
945,4.624216348213691
946,4.623675575285096
947,4.623071085856975
948,4.622406961372285
949,4.621308480455553
950,4.620174462298419
951,4.619460403702183
952,4.618295426653569
953,4.617531840789459
954,4.616337404534367
955,4.616044973011315
956,4.615673786807253
957,4.61522984263907
958,4.61478791278774
959,4.614502665400091
960,4.616445076337162
961,4.617840613695516
962,4.618881478523153
963,4.618517609225263
964,4.618081486713772
965,4.617578275565898
966,4.620945496846639
967,4.621983130426257
968,4.62275893351223
969,4.623534200913415
970,4.622745273453422
971,4.6233139243773085
972,4.623710370296158
973,4.625631205049166
974,4.627012487885207
975,4.626451760769707
976,4.6267008515125925
977,4.627268264747299
978,4.6276645244516414
979,4.627049537590753
980,4.626380183974722
981,4.627412120031763
982,4.628185951224903
983,4.628438766624777
984,4.627721396291323
985,4.627849123294175
986,4.627036915976711
987,4.627054436021403
988,4.62697166260695
989,4.627103722402195
990,4.627124182914154
991,4.627900475862714
992,4.629272866587302
993,4.628519984728226
994,4.627721750848573
995,4.627554573673812
996,4.627305057800668
997,4.6269798935536475
998,4.626584822297983
999,4.627162125334719
1000,4.6277392739200005
1001,4.6281491547699245
1002,4.6273203112708865
1003,4.628099112762817
1004,4.6286770020931645
1005,4.629088283343552
1006,4.630116888449938
1007,4.63038568713473
1008,4.630530726546727
1009,4.633784864834173
1010,4.635662333944048
1011,4.635694643774112
1012,4.635628983402662
1013,4.63481251688337
1014,4.63395578155324
1015,4.633511405588437
1016,4.636747009508943
1017,4.636241262529024
1018,4.637595828209188
1019,4.637034462452856
1020,4.636420715653401
1021,4.6374415239510505
1022,4.638214302256449
1023,4.6387898899614015
1024,4.637906540053758
1025,4.636986866204815
1026,4.636032472764847
1027,4.637892936843659
1028,4.639242228610399
1029,4.640259942862894
1030,4.639273918144603
1031,4.640046673239095
1032,4.641898945505688
1033,4.642474806377457
1034,4.64288870437152
1035,4.643164370054487
1036,4.643319578984526
1037,4.643895573571436
1038,4.644310224969985
1039,4.644725004408205
1040,4.644774862111399
1041,4.6447294161318755
